Adelaide,Albany,Albury,AliceSprings,Ballarat,Bendigo,Brisbane,Cairns,Canberra,Cobar,CoffsHarbour,Darwin,GoldCoast,Hobart,Launceston,Melbourne,Mildura,Moree,MountGambier,Newcastle,Nuriootpa,Penrith,Perth,Portland,Richmond,Sale,Sydney,Townsville,WaggaWagga,Wollongong
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,39.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,16.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25.8,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,5.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,17.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14.4,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,
